Name,Rating,Genre,Release Date,Runtime,Director,Url
Mulan,69.0,"Adventure, Fantasy, Drama, Action",09/04/2020,1h 55m,Niki Caro,https://www.themoviedb.org/movie/337401
Panama,55.0,Thriller,03/17/2022,1h 40m,Mark Neveldine,https://www.themoviedb.org/movie/628878
Aladdin,76.0,"Animation, Family, Adventure, Fantasy, Romance",11/25/1992,1h 30m,Ron Clements,https://www.themoviedb.org/movie/812
Spirit Halloween: The Movie,68.0,"Fantasy, Family, Horror, Adventure",10/11/2022,1h 27m,David Poag,https://www.themoviedb.org/movie/961427
Spider-Man 3,64.0,"Fantasy, Action, Adventure",05/03/2007,2h 19m,Sam Raimi,https://www.themoviedb.org/movie/559
The Nun,58.0,"Horror, Mystery, Thriller",09/07/2018,1h 36m,Corin Hardy,https://www.themoviedb.org/movie/439079
The Fifth Element,75.0,"Adventure, Fantasy, Action, Thriller, Science Fiction",08/19/1997,2h 6m,Luc Besson,https://www.themoviedb.org/movie/18
After Porn Ends 3,55.0,Documentary,12/30/2018,1h 26m,Brittany Andrews,https://www.themoviedb.org/movie/557635
Kung Fu Panda,72.0,"Action, Adventure, Animation, Family, Comedy",06/06/2008,1h 30m,John Stevenson,https://www.themoviedb.org/movie/9502
The Penitent Thief,57.0,Drama,02/25/2021,1h 33m,Lucas Miles,https://www.themoviedb.org/movie/778552
Lee Chaedam's G-Spot,50.0,Romance,10/26/2017,1h 17m,Park Joo-yeong,https://www.themoviedb.org/movie/701561
Ice Age: Dawn of the Dinosaurs,67.0,"Animation, Comedy, Family, Adventure",07/03/2009,1h 34m,Carlos Saldanha,https://www.themoviedb.org/movie/8355
Kill Bill: Vol. 1,80.0,"Action, Crime",10/10/2003,1h 51m,Quentin Tarantino,https://www.themoviedb.org/movie/24
Winnie the Pooh: Blood and Honey,0.0,"Horror, Thriller",02/15/2023,1h 40m,Rhys Frake-Waterfield,https://www.themoviedb.org/movie/980078
Willow,70.0,"Action, Adventure, Fantasy",05/20/1988,2h 6m,Ron Howard,https://www.themoviedb.org/movie/847
The House,71.0,"Animation, Drama, Comedy, Horror, Fantasy",01/14/2022,1h 37m,Niki Lindroth von Bahr,https://www.themoviedb.org/movie/926899
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,73.0,"Animation, Fantasy, Adventure",11/25/2022,1h 48m,Yasuhito Kikuchi,https://www.themoviedb.org/movie/876792
Ava,58.0,"Action, Crime, Drama, Adventure, Thriller",09/25/2020,1h 36m,Tate Taylor,https://www.themoviedb.org/movie/539885
Shazam!,70.0,"Action, Comedy, Fantasy",04/05/2019,2h 12m,David F. Sandberg,https://www.themoviedb.org/movie/287947
Iron Man 3,69.0,"Action, Adventure, Science Fiction",05/03/2013,2h 10m,Shane Black,https://www.themoviedb.org/movie/68721
Boyka: Undisputed IV,71.0,"Action, Drama",08/01/2016,1h 27m,Isaac Florentine,https://www.themoviedb.org/movie/348893
Fast X,0.0,"Action, Crime, Thriller",05/19/2023,NA,Louis Leterrier,https://www.themoviedb.org/movie/385687
Oppressive Torture,20.0,NA,01/14/1978,1h 1m,Kōji Wakamatsu,https://www.themoviedb.org/movie/466353
Snow White and the Seven Dwarfs,71.0,"Fantasy, Animation, Family",02/10/1965,1h 23m,David Hand,https://www.themoviedb.org/movie/408
Avatar: Enter The World,20.0,NA,12/05/2009,22m,NA,https://www.themoviedb.org/movie/931019
Wrong Turn 2: Dead End,60.0,"Horror, Thriller",10/08/2007,1h 36m,Joe Lynch,https://www.themoviedb.org/movie/13186
Grown Ups,63.0,Comedy,06/24/2010,1h 42m,Dennis Dugan,https://www.themoviedb.org/movie/38365
Christmas Full of Grace,56.0,"Romance, Comedy",11/30/2022,1h 44m,Pedro Antônio,https://www.themoviedb.org/movie/1042984
Zoolander 2,49.0,"Comedy, Adventure, Action",02/12/2016,1h 40m,Ben Stiller,https://www.themoviedb.org/movie/329833
Vendetta,64.0,Action,06/09/2022,1h 36m,Jared Cohn,https://www.themoviedb.org/movie/894169
The Shack,75.0,"Drama, Fantasy",03/03/2017,2h 12m,Stuart Hazeldine,https://www.themoviedb.org/movie/345938
Fireheart,75.0,"Animation, Comedy, Family",07/13/2022,1h 32m,Laurent Zeitoun,https://www.themoviedb.org/movie/778810
Pinocchio,66.0,"Drama, Family, Fantasy",12/19/2019,2h 4m,Matteo Garrone,https://www.themoviedb.org/movie/413518
Parasite,85.0,"Comedy, Thriller, Drama",01/31/2020,2h 13m,Bong Joon-ho,https://www.themoviedb.org/movie/496243
Beauty Salon: Special Service 3,67.0,Romance,04/29/2019,1h 24m,Kim Jong-min,https://www.themoviedb.org/movie/643274
Father There Is Only One 3,76.0,"Comedy, Family",07/15/2022,1h 39m,Santiago Segura,https://www.themoviedb.org/movie/975120
Sing,71.0,"Animation, Comedy, Family, Music",12/30/2016,1h 48m,Garth Jennings,https://www.themoviedb.org/movie/335797
Batman v Superman: Dawn of Justice,59.0,"Action, Adventure, Fantasy",05/06/2016,2h 32m,Zack Snyder,https://www.themoviedb.org/movie/209112
Ron's Gone Wrong,80.0,"Animation, Science Fiction, Family, Comedy",10/22/2021,1h 47m,Sarah Smith,https://www.themoviedb.org/movie/482321
Indiana Jones and the Last Crusade,78.0,"Adventure, Action",05/24/1989,2h 7m,Steven Spielberg,https://www.themoviedb.org/movie/89
White House Down,64.0,"Action, Drama, Thriller",06/28/2013,2h 11m,Roland Emmerich,https://www.themoviedb.org/movie/117251
Dawn of the Planet of the Apes,73.0,"Science Fiction, Action, Drama, Thriller",07/10/2014,2h 10m,Matt Reeves,https://www.themoviedb.org/movie/119450
The Outfit,72.0,"Crime, Drama, Thriller",03/18/2022,1h 45m,Graham Moore,https://www.themoviedb.org/movie/799876
Mad Max: Fury Road,76.0,"Action, Adventure, Science Fiction",05/15/2015,2h 1m,George Miller,https://www.themoviedb.org/movie/76341
The Exorcist,77.0,Horror,08/27/1977,2h 2m,William Friedkin,https://www.themoviedb.org/movie/9552
The Greatest Beer Run Ever,78.0,"Drama, Comedy, War, History",09/30/2022,2h 6m,Peter Farrelly,https://www.themoviedb.org/movie/597922
Secretary Rope Discipline,15.0,Drama,05/29/1981,1h 7m,Hidehiro Ito,https://www.themoviedb.org/movie/185665
How to Train Your Dragon: The Hidden World,78.0,"Animation, Family, Adventure",03/21/2019,1h 44m,Dean DeBlois,https://www.themoviedb.org/movie/166428
Scary Movie,63.0,Comedy,07/07/2000,1h 28m,Keenen Ivory Wayans,https://www.themoviedb.org/movie/4247
Gone Girl,79.0,"Mystery, Thriller, Drama",10/31/2014,2h 29m,David Fincher,https://www.themoviedb.org/movie/210577
Bosomy Backhouse Girl,10.0,Romance,05/27/2020,1h 4m,Lee Dong-Joon,https://www.themoviedb.org/movie/711642
Armageddon,68.0,"Action, Thriller, Science Fiction, Adventure",07/01/1998,2h 31m,Michael Bay,https://www.themoviedb.org/movie/95
Bad Boys for Life,72.0,"Thriller, Action, Crime",01/17/2020,2h 4m,Adil El Arbi,https://www.themoviedb.org/movie/38700
The Hunger Games: Catching Fire,74.0,"Adventure, Action, Science Fiction",12/06/2013,2h 26m,Francis Lawrence,https://www.themoviedb.org/movie/101299
Superbad,72.0,Comedy,08/17/2007,1h 53m,Greg Mottola,https://www.themoviedb.org/movie/8363
2012,58.0,"Action, Adventure, Science Fiction",10/10/2009,2h 38m,Roland Emmerich,https://www.themoviedb.org/movie/14161
2037,73.0,"Family, Drama",06/08/2022,2h 6m,Mo Hong-jin,https://www.themoviedb.org/movie/833593
Blade Runner,79.0,"Science Fiction, Drama, Thriller",06/25/1982,1h 58m,Ridley Scott,https://www.themoviedb.org/movie/78
Deathstroke: Knights & Dragons - The Movie,69.0,"Animation, Action, Adventure, Science Fiction",08/04/2020,1h 27m,Sung Jin Ahn,https://www.themoviedb.org/movie/703771
Penguins of Madagascar,65.0,"Family, Animation, Adventure, Comedy",11/26/2014,1h 32m,Simon J. Smith,https://www.themoviedb.org/movie/270946
American Psycho,74.0,"Thriller, Drama, Crime",04/14/2000,1h 42m,Mary Harron,https://www.themoviedb.org/movie/1359
Marudase Kintarou,60.0,"Romance, Comedy, Animation",12/11/2020,NA,Hideki Araki,https://www.themoviedb.org/movie/670327
Clean,64.0,Crime,08/25/2022,1h 33m,Paul Solet,https://www.themoviedb.org/movie/689700
THE FIRST SLAM DUNK,75.0,"Animation, Comedy, Drama",12/03/2022,2h 4m,Takehiko Inoue,https://www.themoviedb.org/movie/783675
Furious 7,72.0,"Action, Thriller, Crime, Adventure",04/03/2015,2h 17m,James Wan,https://www.themoviedb.org/movie/168259
Naruto Shippuden the Movie: Blood Prison,73.0,"Thriller, Animation, Action, Comedy, Horror, Mystery",07/30/2011,1h 48m,Masahiko Murata,https://www.themoviedb.org/movie/75624
The Babysitter: Killer Queen,64.0,"Comedy, Horror",09/10/2020,1h 41m,McG,https://www.themoviedb.org/movie/623491
Black Water: Abyss,51.0,"Horror, Action, Adventure",08/07/2020,1h 38m,Andrew Traucki,https://www.themoviedb.org/movie/522444
No Limit,62.0,Drama,09/09/2022,1h 59m,David M. Rosenthal,https://www.themoviedb.org/movie/911129
Life in a Year,83.0,"Drama, Romance",11/27/2020,1h 47m,Mitja Okorn,https://www.themoviedb.org/movie/447362
Pacific Rim,69.0,"Action, Science Fiction, Adventure",07/12/2013,2h 11m,Guillermo del Toro,https://www.themoviedb.org/movie/68726
Blonde,62.0,Drama,09/16/2022,2h 47m,Andrew Dominik,https://www.themoviedb.org/movie/301502
Ticket to Paradise,69.0,"Romance, Comedy",10/21/2022,1h 44m,Ol Parker,https://www.themoviedb.org/movie/800939
Virgin Forest,30.0,Thriller,06/24/2022,1h 53m,Brillante Mendoza,https://www.themoviedb.org/movie/985932
Jumanji: The Next Level,69.0,"Adventure, Comedy, Fantasy",12/13/2019,2h 3m,Jake Kasdan,https://www.themoviedb.org/movie/512200
The Proposal,71.0,"Comedy, Romance, Drama",06/01/2009,1h 48m,Anne Fletcher,https://www.themoviedb.org/movie/18240
American Sicario,60.0,"Crime, Action",01/06/2022,1h 30m,RJ Collins,https://www.themoviedb.org/movie/893297
Inglourious Basterds,82.0,"Drama, Action, Thriller, War",08/21/2009,2h 33m,Quentin Tarantino,https://www.themoviedb.org/movie/16869
The Little Guy,74.0,"Animation, Family, Comedy, Science Fiction",08/10/2022,5m,Kirsten Lepore,https://www.themoviedb.org/movie/1010819
Scarface,82.0,"Action, Crime, Drama",12/09/1983,2h 50m,Brian De Palma,https://www.themoviedb.org/movie/111
Pokémon Detective Pikachu,70.0,"Action, Adventure, Fantasy",05/10/2019,1h 45m,Rob Letterman,https://www.themoviedb.org/movie/447404
2001: A Space Odyssey,81.0,"Science Fiction, Mystery, Adventure",10/04/2017,2h 29m,Stanley Kubrick,https://www.themoviedb.org/movie/62
The Day After Tomorrow,65.0,"Action, Adventure, Science Fiction, Thriller",05/28/2004,2h 4m,Roland Emmerich,https://www.themoviedb.org/movie/435
Creed,74.0,"Drama, Action",11/27/2015,2h 13m,Ryan Coogler,https://www.themoviedb.org/movie/312221
Paranormal Activity: Next of Kin,64.0,"Horror, Mystery, Thriller",10/29/2021,1h 38m,William Eubank,https://www.themoviedb.org/movie/609972
Cinderella,68.0,"Romance, Fantasy, Family, Drama",03/13/2015,1h 45m,Kenneth Branagh,https://www.themoviedb.org/movie/150689
Allowed,20.0,Comedy,11/23/2022,NA,NA,https://www.themoviedb.org/movie/1052627
Wish Dragon,80.0,"Animation, Family, Comedy, Fantasy",01/15/2021,1h 39m,Chris Appelhans,https://www.themoviedb.org/movie/550205
Wonder Woman,72.0,"Action, Adventure, Fantasy",06/02/2017,2h 21m,Patty Jenkins,https://www.themoviedb.org/movie/297762
Krampus,61.0,"Horror, Comedy, Fantasy",12/04/2015,1h 38m,Michael Dougherty,https://www.themoviedb.org/movie/287903
Valiant Hearts,38.0,Drama,05/11/2022,1h 32m,Mona Achache,https://www.themoviedb.org/movie/843427
Knowing,61.0,"Action, Mystery, Science Fiction, Thriller",03/20/2009,2h 1m,Alex Proyas,https://www.themoviedb.org/movie/13811
The Mountain Between Us,66.0,"Romance, Adventure, Drama",10/06/2017,1h 49m,Hany Abu-Assad,https://www.themoviedb.org/movie/290512
The Incredibles,77.0,"Action, Adventure, Animation, Family",12/17/2004,1h 55m,Brad Bird,https://www.themoviedb.org/movie/9806
Maze Runner: The Scorch Trials,67.0,"Science Fiction, Action, Thriller, Adventure",09/18/2015,2h 11m,Wes Ball,https://www.themoviedb.org/movie/294254
Rio,67.0,"Animation, Adventure, Comedy, Family",04/08/2011,1h 36m,Carlos Saldanha,https://www.themoviedb.org/movie/46195
The Hangover Part II,65.0,Comedy,05/27/2011,1h 42m,Todd Phillips,https://www.themoviedb.org/movie/45243
Me Time,60.0,Comedy,08/26/2022,1h 44m,John Hamburg,https://www.themoviedb.org/movie/862551
Raiders of the Lost Ark,79.0,"Adventure, Action",09/07/1982,1h 55m,Steven Spielberg,https://www.themoviedb.org/movie/85
The Good Dinosaur,67.0,"Adventure, Animation, Family",11/27/2015,1h 33m,Peter Sohn,https://www.themoviedb.org/movie/105864
Luckiest Girl Alive,66.0,"Drama, Thriller, Mystery",09/30/2022,1h 53m,Mike Barker,https://www.themoviedb.org/movie/799546
Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,69.0,"Animation, Action, Adventure, Fantasy",07/30/2021,1h 34m,Toshifumi Akai,https://www.themoviedb.org/movie/829920
Tom Clancy's Without Remorse,71.0,"Action, Thriller",04/29/2021,1h 49m,Stefano Sollima,https://www.themoviedb.org/movie/567189
Madagascar,69.0,"Family, Animation, Adventure, Comedy",08/12/2005,1h 26m,Eric Darnell,https://www.themoviedb.org/movie/953
Dinosaur,65.0,"Family, Animation",05/19/2000,1h 22m,Ralph Zondag,https://www.themoviedb.org/movie/10567
Ponyo,77.0,"Animation, Fantasy, Family",07/19/2008,1h 40m,Hayao Miyazaki,https://www.themoviedb.org/movie/12429
Delivery by Christmas,63.0,"Romance, Comedy",12/06/2022,1h 40m,Aleksandra Kułakowska,https://www.themoviedb.org/movie/1053080
A Whisker Away,80.0,"Animation, Drama, Romance, Fantasy",06/18/2020,1h 44m,Tomotaka Shibayama,https://www.themoviedb.org/movie/667520
Peppermint,67.0,"Action, Thriller",09/07/2018,1h 42m,Pierre Morel,https://www.themoviedb.org/movie/458594
Maleficent,71.0,"Fantasy, Adventure, Action, Family, Romance",07/04/2014,1h 37m,Robert Stromberg,https://www.themoviedb.org/movie/102651
Run Sweetheart Run,59.0,"Thriller, Horror",10/28/2022,1h 43m,Shana Feste,https://www.themoviedb.org/movie/532870
National Lampoon's Vacation,71.0,"Comedy, Adventure",07/28/1983,1h 39m,Harold Ramis,https://www.themoviedb.org/movie/11153
HiGH&LOW THE WORST X (CROSS),20.0,"Action, Drama, Crime, Thriller",09/09/2022,1h 59m,Norihisa Hiranuma,https://www.themoviedb.org/movie/965731
Journey 2: The Mysterious Island,61.0,"Adventure, Action, Science Fiction",02/10/2012,1h 34m,Brad Peyton,https://www.themoviedb.org/movie/72545
Tom and Jerry Cowboy Up!,69.0,"Animation, Comedy, Family, Western",01/25/2022,1h 15m,Darrell Van Citters,https://www.themoviedb.org/movie/892153
Ralph Breaks the Internet,72.0,"Family, Animation, Comedy, Adventure",11/23/2018,1h 52m,Phil Johnston,https://www.themoviedb.org/movie/404368
The Cellar,67.0,"Horror, Mystery",03/25/2022,1h 34m,Brendan Muldowney,https://www.themoviedb.org/movie/758724
Who's a Good Boy?,51.0,Comedy,11/23/2022,1h 35m,Ihtzi Hurtado,https://www.themoviedb.org/movie/1044043
Fantastic Beasts and Where to Find Them,73.0,"Action, Adventure, Fantasy",11/18/2016,2h 12m,David Yates,https://www.themoviedb.org/movie/259316
Indiana Jones and the Temple of Doom,73.0,"Adventure, Action",05/23/1984,1h 58m,Steven Spielberg,https://www.themoviedb.org/movie/87
Wreck-It Ralph,73.0,"Family, Animation, Comedy, Adventure",11/02/2012,1h 41m,Rich Moore,https://www.themoviedb.org/movie/82690
The Notebook,79.0,"Romance, Drama",06/25/2004,2h 3m,Nick Cassavetes,https://www.themoviedb.org/movie/11036
A Female Employee's Taste,27.0,"Drama, Romance",05/28/2018,1h 20m,Choi Woo-seong,https://www.themoviedb.org/movie/554447
American Beauty,80.0,Drama,10/01/1999,2h 2m,Sam Mendes,https://www.themoviedb.org/movie/14
Scooby-Doo,61.0,"Mystery, Adventure, Comedy",06/14/2002,1h 28m,Raja Gosnell,https://www.themoviedb.org/movie/9637
Sausage Party,57.0,"Adventure, Animation, Comedy, Fantasy",08/12/2016,1h 29m,Conrad Vernon,https://www.themoviedb.org/movie/223702
Burning Patience,59.0,"Romance, Drama",12/07/2022,1h 37m,Rodrigo Sepúlveda,https://www.themoviedb.org/movie/1025805
Road to Ninja: Naruto the Movie,76.0,"Animation, Fantasy, Action",07/28/2012,1h 49m,Hayato Date,https://www.themoviedb.org/movie/118406
Borrego,59.0,"Crime, Thriller",01/14/2022,1h 42m,Jesse Harris,https://www.themoviedb.org/movie/728366
Insurgent,64.0,"Action, Adventure, Science Fiction, Thriller",03/20/2015,1h 59m,Robert Schwentke,https://www.themoviedb.org/movie/262500
Rurouni Kenshin: The Beginning,77.0,"Action, Adventure, Drama",06/04/2021,2h 18m,Keishi Ōtomo,https://www.themoviedb.org/movie/672322
The Martian,77.0,"Drama, Adventure, Science Fiction",10/02/2015,2h 21m,Ridley Scott,https://www.themoviedb.org/movie/286217
Major Grom: Plague Doctor,67.0,"Action, Adventure",04/01/2021,2h 16m,Oleg Trofim,https://www.themoviedb.org/movie/529106
The Marksman,69.0,"Action, Thriller",01/15/2021,1h 48m,Robert Lorenz,https://www.themoviedb.org/movie/634528
Captain Marvel,69.0,"Action, Adventure, Science Fiction",03/08/2019,2h 4m,Ryan Fleck,https://www.themoviedb.org/movie/299537
The Mummy,69.0,"Adventure, Action, Fantasy",07/22/1999,2h 4m,Stephen Sommers,https://www.themoviedb.org/movie/564
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,70.0,Comedy,01/12/1996,1h 29m,Paris Barclay,https://www.themoviedb.org/movie/10607
WarHunt,52.0,"Action, Horror, Thriller, War, Fantasy",07/07/2022,1h 33m,Mauro Borrelli,https://www.themoviedb.org/movie/697799
Green Lantern: Beware My Power,72.0,"Animation, Action, Science Fiction",07/26/2022,1h 27m,Jeff Wamester,https://www.themoviedb.org/movie/887357
Incredibles 2,75.0,"Action, Adventure, Animation, Family",06/22/2018,1h 58m,Brad Bird,https://www.themoviedb.org/movie/260513
Tom & Jerry,69.0,"Comedy, Family, Animation",02/26/2021,1h 41m,Tim Story,https://www.themoviedb.org/movie/587807
The Croods,69.0,"Animation, Adventure, Family, Fantasy, Comedy, Action",03/22/2013,1h 38m,Chris Sanders,https://www.themoviedb.org/movie/49519
Prisoners,81.0,"Drama, Thriller, Crime",09/27/2013,2h 33m,Denis Villeneuve,https://www.themoviedb.org/movie/146233
The Perfect Dinner,67.0,"Comedy, Romance",10/20/2022,NA,Davide Minnella,https://www.themoviedb.org/movie/838876
Poker Face,59.0,"Mystery, Thriller, Crime, Action",11/24/2022,1h 35m,Russell Crowe,https://www.themoviedb.org/movie/842934
The Equalizer 2,67.0,"Action, Thriller, Crime",07/20/2018,2h 1m,Antoine Fuqua,https://www.themoviedb.org/movie/345887
Law Abiding Citizen,73.0,"Drama, Crime, Thriller",10/15/2009,1h 49m,F. Gary Gray,https://www.themoviedb.org/movie/22803
Heatwave,69.0,Thriller,01/17/2022,1h 40m,Ernie Barbarash,https://www.themoviedb.org/movie/928270
The Karate Kid,65.0,"Action, Adventure, Drama, Family",06/10/2010,2h 20m,Harald Zwart,https://www.themoviedb.org/movie/38575
Three Thousand Years of Longing,71.0,"Fantasy, Drama, Romance",09/01/2022,1h 48m,George Miller,https://www.themoviedb.org/movie/556694
Good Mother 3,35.0,Romance,08/23/2019,1h 10m,Kim Bit-na,https://www.themoviedb.org/movie/721173
Spirit Untamed,74.0,"Animation, Adventure, Family, Western",06/04/2021,1h 28m,Elaine Bogan,https://www.themoviedb.org/movie/637693
White Chicks,69.0,"Comedy, Crime",06/23/2004,1h 49m,Keenen Ivory Wayans,https://www.themoviedb.org/movie/12153
Rise of the Guardians,74.0,"Family, Animation, Fantasy, Action, Adventure",11/21/2012,1h 37m,Peter Ramsey,https://www.themoviedb.org/movie/81188
One Shot,68.0,Action,01/21/2022,1h 37m,James Nunn,https://www.themoviedb.org/movie/811592
Ripper Untold,62.0,Horror,06/28/2021,1h 25m,Steven Lawson,https://www.themoviedb.org/movie/820511
Old,65.0,"Thriller, Mystery, Horror",07/23/2021,1h 48m,M. Night Shyamalan,https://www.themoviedb.org/movie/631843
Maleficent: Mistress of Evil,73.0,"Family, Fantasy, Adventure, Action",10/18/2019,1h 59m,Joachim Rønning,https://www.themoviedb.org/movie/420809
I Am Legend,72.0,"Drama, Science Fiction, Thriller",12/14/2007,1h 41m,Francis Lawrence,https://www.themoviedb.org/movie/6479
The Consequences,48.0,"Drama, Thriller",09/17/2021,1h 36m,Claudia Pinto Emperador,https://www.themoviedb.org/movie/833043
Whitney Houston: I Wanna Dance with Somebody,68.0,"Drama, History, Music",12/23/2022,2h 24m,Kasi Lemmons,https://www.themoviedb.org/movie/696157
Home Sweet Home Alone,50.0,"Comedy, Crime, Family",11/12/2021,1h 33m,Dan Mazer,https://www.themoviedb.org/movie/654974
La donna per me,60.0,"Comedy, Romance, Fantasy",04/04/2022,NA,Marco Martani,https://www.themoviedb.org/movie/800741
Cars,69.0,"Animation, Adventure, Comedy, Family",08/04/2006,1h 57m,John Lasseter,https://www.themoviedb.org/movie/920
Chappie,68.0,"Crime, Action, Science Fiction",03/06/2015,2h,Neill Blomkamp,https://www.themoviedb.org/movie/198184
Indemnity,70.0,"Action, Thriller, Crime",09/01/2022,2h 4m,Travis Taute,https://www.themoviedb.org/movie/854467
Weathering with You,80.0,"Animation, Drama, Fantasy, Romance",07/19/2019,1h 52m,Makoto Shinkai,https://www.themoviedb.org/movie/568160
Jarhead,66.0,"Drama, War",11/04/2005,2h 3m,Sam Mendes,https://www.themoviedb.org/movie/25
Halloween Kills,66.0,"Horror, Thriller",10/15/2021,1h 45m,David Gordon Green,https://www.themoviedb.org/movie/610253
The Witcher: Nightmare of the Wolf,76.0,"Animation, Action, Fantasy",08/23/2021,1h 23m,Han Kwang-il,https://www.themoviedb.org/movie/666243
Rush Hour,70.0,"Action, Comedy, Crime",09/18/1998,1h 38m,Brett Ratner,https://www.themoviedb.org/movie/2109
Franco Escamilla: Eavesdropping,87.0,Comedy,10/23/2022,2h 2m,Claude Shires,https://www.themoviedb.org/movie/1039026
Exodus: Gods and Kings,58.0,"Adventure, Drama, Action",12/05/2014,2h 30m,Ridley Scott,https://www.themoviedb.org/movie/147441
Tomorrow is Today,62.0,Comedy,12/02/2022,1h 48m,Nacho G. Velilla,https://www.themoviedb.org/movie/1029528
Brother Bear,72.0,"Adventure, Animation, Family",11/01/2003,1h 25m,Robert Walker,https://www.themoviedb.org/movie/10009
Spirit: Stallion of the Cimarron,77.0,"Western, Animation, Adventure, Comedy, Family, Drama",05/24/2002,1h 23m,Kelly Asbury,https://www.themoviedb.org/movie/9023
X-Men: Apocalypse,65.0,"Action, Adventure, Science Fiction, Fantasy",05/27/2016,2h 24m,Bryan Singer,https://www.themoviedb.org/movie/246655
Sicario: Day of the Soldado,69.0,"Action, Crime, Drama, Thriller",06/29/2018,2h 2m,Stefano Sollima,https://www.themoviedb.org/movie/400535
Shut In,71.0,"Thriller, Horror, Drama",03/24/2022,1h 30m,D. J. Caruso,https://www.themoviedb.org/movie/629015
Mobile Suit Gundam Hathaway,74.0,"Animation, Action, Drama, Science Fiction",06/11/2021,1h 36m,Shuko Murase,https://www.themoviedb.org/movie/685274
Wrong Turn,63.0,"Horror, Thriller",05/30/2003,1h 24m,Rob Schmidt,https://www.themoviedb.org/movie/9902
The Dark Knight Rises,78.0,"Action, Crime, Drama, Thriller",07/20/2012,2h 45m,Christopher Nolan,https://www.themoviedb.org/movie/49026
King,67.0,"Adventure, Comedy, Family",02/16/2022,1h 45m,David Moreau,https://www.themoviedb.org/movie/892527
The Meg,62.0,"Action, Science Fiction, Horror",08/10/2018,1h 53m,Jon Turteltaub,https://www.themoviedb.org/movie/345940
Covet: Island of Desire,42.0,Romance,05/04/2017,1h 21m,Kim Jin-sung,https://www.themoviedb.org/movie/458083
Room Salon College Girls 2,55.0,"Drama, Romance",07/05/2019,1h 16m,Jo Tae-ho,https://www.themoviedb.org/movie/656958
Ted,64.0,"Comedy, Fantasy",06/29/2012,1h 47m,Seth MacFarlane,https://www.themoviedb.org/movie/72105
Rush Hour 2,67.0,"Action, Comedy, Crime",08/03/2001,1h 30m,Brett Ratner,https://www.themoviedb.org/movie/5175
Snake Eyes: G.I. Joe Origins,66.0,"Action, Adventure",07/23/2021,2h 1m,Robert Schwentke,https://www.themoviedb.org/movie/568620
The Foreigner,69.0,"Action, Thriller",10/13/2017,1h 53m,Martin Campbell,https://www.themoviedb.org/movie/379149
Belle,79.0,"Animation, Drama, Science Fiction, Music, Family",07/16/2021,2h 2m,Mamoru Hosoda,https://www.themoviedb.org/movie/776305
The Sensuous Nurse,58.0,Comedy,12/19/1975,1h 30m,Nello Rossati,https://www.themoviedb.org/movie/4705
Brave,70.0,"Animation, Adventure, Comedy, Family, Action, Fantasy",06/22/2012,1h 33m,Brenda Chapman,https://www.themoviedb.org/movie/62177
Pokemon the Movie: Mewtwo Strikes Back - Evolution,67.0,"Animation, Adventure, Fantasy, Action, Family",07/12/2019,1h 38m,Kunihiko Yuyama,https://www.themoviedb.org/movie/571891
Limitless,72.0,"Thriller, Mystery, Science Fiction",04/29/2011,1h 45m,Neil Burger,https://www.themoviedb.org/movie/51876
Hercules,75.0,"Animation, Family, Fantasy, Adventure, Comedy, Romance",06/27/1997,1h 33m,John Musker,https://www.themoviedb.org/movie/11970
The Pilgrim's Progress,77.0,"Animation, Adventure",04/18/2019,1h 48m,Robert Fernandez,https://www.themoviedb.org/movie/595172
Maze Runner: The Death Cure,71.0,"Science Fiction, Action, Adventure, Thriller",02/09/2018,2h 23m,Wes Ball,https://www.themoviedb.org/movie/336843
How to Train Your Dragon,78.0,"Fantasy, Adventure, Animation, Family",04/16/2010,1h 38m,Dean DeBlois,https://www.themoviedb.org/movie/10191
Gold,63.0,"Thriller, Action",01/13/2022,1h 37m,Anthony Hayes,https://www.themoviedb.org/movie/760926
Intergalactic Meeting,55.0,"Adventure, Science Fiction, Comedy",09/22/2022,1h 25m,Fabrício Bittar,https://www.themoviedb.org/movie/1006381
Constantine,70.0,"Fantasy, Action, Horror",02/25/2005,2h 1m,Francis Lawrence,https://www.themoviedb.org/movie/561
Nightcrawler,77.0,"Crime, Drama, Thriller",10/31/2014,1h 58m,Dan Gilroy,https://www.themoviedb.org/movie/242582
Shaolin Soccer,71.0,"Action, Comedy",07/12/2001,1h 53m,Stephen Chow,https://www.themoviedb.org/movie/11770
Curious Caterer: Dying for Chocolate,66.0,"TV Movie, Mystery",11/17/2022,1h 24m,Anthony C. Metchie,https://www.themoviedb.org/movie/936897
Thor: The Dark World,66.0,"Action, Adventure, Fantasy",11/15/2013,1h 52m,Alan Taylor,https://www.themoviedb.org/movie/76338
Alice no Mundo da Internet,27.0,"Adventure, Fantasy, Family",08/05/2022,1h 27m,Fabrício Bittar,https://www.themoviedb.org/movie/1008204
Ninja Assassin,65.0,"Action, Thriller",09/29/2009,1h 39m,James McTeigue,https://www.themoviedb.org/movie/22832
Monsters University,70.0,"Animation, Family",06/21/2013,1h 44m,Dan Scanlon,https://www.themoviedb.org/movie/62211
